obs_id,timestart,timeend,valor,timeupdate
16256311712,2021-05-11 02:00:00,2021-05-11 03:00:00,0,2021-05-11 02:17:10.614528
16256515454,2021-05-11 03:00:00,2021-05-11 04:00:00,0,2021-05-11 04:17:18.661541
16256515453,2021-05-11 04:00:00,2021-05-11 05:00:00,0,2021-05-11 04:17:18.661541
16256755257,2021-05-11 05:00:00,2021-05-11 06:00:00,0,2021-05-11 05:17:11.557333
16257003489,2021-05-11 06:00:00,2021-05-11 07:00:00,0,2021-05-11 06:17:12.632909
16257268046,2021-05-11 07:00:00,2021-05-11 08:00:00,0,2021-05-11 07:17:17.327787
16257525797,2021-05-11 08:00:00,2021-05-11 09:00:00,0,2021-05-11 08:17:08.267527
16257783333,2021-05-11 09:00:00,2021-05-11 10:00:00,0,2021-05-11 09:17:19.013733
16258033902,2021-05-11 10:00:00,2021-05-11 11:00:00,0,2021-05-11 10:17:17.289808
16258774939,2021-05-11 11:00:00,2021-05-11 12:00:00,0,2021-05-11 11:17:25.410159
16259153855,2021-05-11 12:00:00,2021-05-11 13:00:00,0,2021-05-11 12:17:32.75251
16260102871,2021-05-11 13:00:00,2021-05-11 14:00:00,0,2021-05-11 13:18:51.277868
16260722252,2021-05-11 14:00:00,2021-05-11 15:00:00,0,2021-05-11 14:17:08.358143
16260991830,2021-05-11 15:00:00,2021-05-11 16:00:00,0,2021-05-11 15:17:33.209422
16261260204,2021-05-11 16:00:00,2021-05-11 17:00:00,0,2021-05-11 16:17:17.520833
16261532126,2021-05-11 17:00:00,2021-05-11 18:00:00,0,2021-05-11 17:17:16.442605
16261824407,2021-05-11 18:00:00,2021-05-11 19:00:00,0,2021-05-11 18:17:20.87767
16262076687,2021-05-11 19:00:00,2021-05-11 20:00:00,0,2021-05-11 19:16:50.351096
16262322534,2021-05-11 20:00:00,2021-05-11 21:00:00,0,2021-05-11 20:18:59.815062
16262570935,2021-05-11 21:00:00,2021-05-11 22:00:00,0,2021-05-11 21:17:19.132191
16262811377,2021-05-11 22:00:00,2021-05-11 23:00:00,0,2021-05-11 22:17:25.177546
16263606160,2021-05-11 23:00:00,2021-05-12 00:00:00,0,2021-05-11 23:17:11.51039
16264215633,2021-05-12 00:00:00,2021-05-12 01:00:00,0,2021-05-12 00:17:41.928586
16264555221,2021-05-12 01:00:00,2021-05-12 02:00:00,0,2021-05-12 01:17:40.244174
16264785143,2021-05-12 02:00:00,2021-05-12 03:00:00,0,2021-05-12 02:17:14.908042
16264964041,2021-05-12 03:00:00,2021-05-12 04:00:00,0,2021-05-12 03:17:08.740803
16265162791,2021-05-12 04:00:00,2021-05-12 05:00:00,0,2021-05-12 04:17:07.750254
16265294754,2021-05-12 05:00:00,2021-05-12 06:00:00,0,2021-05-12 05:17:19.37349
16265553728,2021-05-12 06:00:00,2021-05-12 07:00:00,0,2021-05-12 06:17:22.887228
16265828193,2021-05-12 07:00:00,2021-05-12 08:00:00,0,2021-05-12 07:17:11.863381
16266095633,2021-05-12 08:00:00,2021-05-12 09:00:00,0,2021-05-12 08:17:14.620328
16266362912,2021-05-12 09:00:00,2021-05-12 10:00:00,0,2021-05-12 09:17:16.259375
16266623754,2021-05-12 10:00:00,2021-05-12 11:00:00,0,2021-05-12 10:17:13.643964
16267365708,2021-05-12 11:00:00,2021-05-12 12:00:00,0,2021-05-12 11:17:25.520769
16268047116,2021-05-12 12:00:00,2021-05-12 13:00:00,0,2021-05-12 12:17:43.200897
16268985343,2021-05-12 13:00:00,2021-05-12 14:00:00,0,2021-05-12 13:18:32.541897
16269632861,2021-05-12 14:00:00,2021-05-12 15:00:00,0,2021-05-12 14:17:15.033866
16269912732,2021-05-12 15:00:00,2021-05-12 16:00:00,0,2021-05-12 15:17:18.729098
16270208393,2021-05-12 16:00:00,2021-05-12 17:00:00,0,2021-05-12 16:19:28.191317
16270490125,2021-05-12 17:00:00,2021-05-12 18:00:00,0,2021-05-12 17:19:19.915754
